"z"	"Freq"
"10563"	2
"10673"	11
"10803"	3
"10913"	8
"116379"	21
"1233"	8
"1270"	10
"1441"	19
"149233"	4
"1524"	7
"163702"	15
"1950"	2
"2057"	12
"2321"	6
"23765"	11
"2690"	2
"27190"	21
"2826"	4
"3443"	4
"3446"	6
"3455"	13
"355"	11
"3552"	5
"3566"	8
"3572"	28
"3575"	7
"3576"	2
"3578"	9
"3590"	5
"3594"	4
"3596"	3
"3597"	19
"3600"	17
"3606"	26
"3953"	2
"3977"	14
"4050"	9
"4982"	10
"5008"	3
"50615"	3
"50616"	12
"5159"	3
"5196"	3
"55801"	2
"5617"	5
"60401"	12
"6348"	5
"6387"	17
"657"	13
"7042"	18
"7046"	23
"7133"	6
"7173"	7
"8600"	13
"8718"	1
"8742"	26
"8743"	9
"8744"	6
"943"	6
"9560"	3
"958"	8
