"z"	"Freq"
"10000"	1
"10369"	5
"10746"	2
"11072"	3
"11261"	3
"1386"	9
"1399"	1
"1616"	4
"1845"	7
"1849"	6
"1950"	1
"2005"	2
"208"	3
"2122"	5
"2246"	3
"2260"	8
"2263"	1
"2264"	4
"26291"	3
"27006"	1
"3265"	1
"3303"	1
"3312"	1
"355"	1
"3551"	3
"3552"	5
"3925"	2
"4296"	5
"4616"	1
"4763"	10
"4893"	2
"5062"	1
"51295"	3
"5159"	2
"5319"	4
"5322"	5
"5534"	2
"5595"	4
"5600"	5
"5606"	2
"5894"	1
"59283"	2
"5970"	4
"6196"	6
"6300"	3
"63928"	7
"6416"	2
"6655"	4
"6722"	6
"7042"	7
"7046"	8
"7157"	3
"7786"	3
"781"	4
"7867"	4
"8074"	4
"81579"	6
"84647"	2
"8550"	2
"8569"	5
"8913"	2
"929"	1
"998"	3
