"z"	"Freq"
"10094"	1
"10163"	2
"10552"	10
"10627"	11
"1129"	1
"1399"	2
"1950"	4
"2246"	7
"2260"	13
"2263"	4
"2264"	2
"2335"	5
"23396"	20
"26291"	5
"27006"	2
"2909"	8
"29895"	5
"324"	5
"3265"	1
"3645"	4
"3655"	14
"3672"	14
"3678"	26
"3679"	3
"3681"	17
"3685"	9
"3689"	7
"369"	1
"375189"	6
"3984"	6
"4633"	10
"4893"	12
"5062"	1
"50649"	4
"5159"	1
"54961"	17
"55845"	4
"5595"	2
"56034"	2
"57144"	11
"5880"	1
"5894"	2
"60"	23
"623"	17
"6548"	15
"6655"	13
"7410"	25
"8074"	9
"81624"	6
"8395"	1
"88"	17
"8826"	24
"8976"	6
"89846"	5
"929"	4
"9564"	18
"998"	12
