"pathwayId"	"pathwayName"	"annMoleculeRatio"	"annBgRatio"	"pvalue"	"fdr"	"annMoleculeList"	"annBgMoleculeList"
"path:05131"	"Shigellosis"	"10/1382"	"61/21796"	0.00473838295813345	0.519798803688499	"10552;25;3678;5600;5970;60;8945;8976;9844;998"	"10092;10093;10094;10095;10109;10163;10392;10459;10552;1147;1398;1399;1432;1445;1729;1793;2017;23291;25;3059;345456;3551;3576;3678;3688;375189;391;4790;4792;4793;5216;5217;5594;5595;5599;5600;5601;5602;5603;5879;5970;60;6093;6300;64127;653888;71;7307;7414;7454;81873;8517;8767;8936;8945;8976;9474;9475;960;9844;998"
"path:04530"	"Tight junction"	"16/1382"	"131/21796"	0.00879737324354379	0.519798803688499	"10627;1496;24146;29895;4619;4633;49861;5521;55844;5728;60;84552;88;9071;9080;998"	"10000;1019;10207;103910;10398;10627;10686;11336;1364;1365;1366;137075;1457;1459;1460;149461;1495;1496;1499;150084;154810;2017;2035;2036;2037;207;208;22800;22808;22989;23136;23562;24146;260425;26285;27134;2770;2771;2773;29119;29895;3059;3265;3845;387;3993;3996;4301;4619;4620;4621;4622;4624;4625;4626;4627;4628;4629;4633;4636;4893;4950;49861;5010;50848;50855;51208;51776;53842;5515;5516;5518;5519;5520;5521;5522;5578;5579;5580;5581;5582;5583;5584;55844;55870;5588;5590;56288;5728;57530;57644;58494;58498;5865;5872;60;60412;6237;64398;6714;7082;71;7122;7525;79784;81;8189;83700;84552;84612;8531;8573;87;8735;8777;88;89;9071;9073;9074;9075;9076;9080;9218;9223;92359;93408;93643;9414;9863;998"
"path:00514"	"O-Mannosyl glycan biosynthesis"	"2/1382"	"3/21796"	0.0115440456725788	0.519798803688499	"10585;55624"	"10585;29954;55624"
"path:00604"	"Glycosphingolipid biosynthesis - ganglio series"	"4/1382"	"15/21796"	0.0124959462184522	0.519798803688499	"29906;30815;81849;8869"	"256435;2583;27090;2720;29906;3073;3074;30815;6482;6483;6489;81849;8705;8869;9197"
"path:05100"	"Bacterial invasion of epithelial cells"	"10/1382"	"71/21796"	0.0137330447846227	0.519798803688499	"10552;1496;26052;3678;60;8218;867;8976;9844;998"	"10059;10092;10093;10094;10095;10109;10163;10459;10552;1211;1212;1213;1398;1399;1495;1496;1499;1731;1759;1785;1793;2017;2335;23533;23607;23624;2549;25759;26052;26084;29119;3059;3611;3678;3688;387;391;399694;4233;5290;5291;5293;5294;5295;5296;53358;5747;5829;5879;60;6464;653888;6714;71;7414;7454;79658;81873;8218;8503;857;858;859;867;868;8936;8976;9564;9844;998;999"
"path:04670"	"Leukocyte transendothelial migration"	"14/1382"	"116/21796"	0.0150851743190747	0.519798803688499	"10411;10627;1496;24146;29895;4633;49861;5600;5781;60;88;9071;9080;998"	"1003;103910;10398;10411;10451;10627;10686;11069;1364;1365;1366;137075;1432;149461;1495;1496;1499;1500;1535;1536;2185;23533;23562;24146;26285;27035;2770;2771;2773;2909;29119;29895;3383;3676;3683;3684;3688;3689;3702;387;394;399;4267;4301;4313;4318;4478;4633;4636;4688;4689;4950;49861;5010;50508;50848;51208;5175;5290;5291;5293;5294;5295;5296;5335;5336;53842;5578;5579;5582;5600;5603;5747;5781;5829;58494;58498;5879;5880;5906;5908;60;6093;6300;6387;6494;653361;7070;71;7122;7294;7408;7409;7410;7412;7414;7430;7852;81;83593;83700;8503;87;88;89;9071;9073;9074;9075;9076;9080;90952;93408;9475;9564;998"
"path:04060"	"Cytokine-cytokine receptor interaction"	"22/1382"	"213/21796"	0.016614573633879	0.519798803688499	"1270;1441;163702;2057;27190;3455;355;3566;3572;3597;3600;3606;4982;50616;60401;657;7042;7046;8600;8742;8743;943"	"10563;10663;10673;10803;10913;115650;116379;1230;1232;1233;1234;1235;1236;1237;1270;1271;1435;1436;1437;1438;1439;1440;1441;1489;149233;1524;163702;1896;1950;1956;2056;2057;2277;2321;2322;2323;2324;23495;23529;23765;268;269;2690;27190;27242;2826;2829;2833;3082;338376;3439;3440;3441;3442;3443;3444;3445;3446;3447;3448;3449;3451;3452;3454;3455;3456;3458;3459;3460;3467;355;3552;3553;3554;3556;3558;3559;356;3560;3561;3562;3563;3565;3566;3567;3568;3569;3570;3572;3574;3575;3576;3577;3578;3579;3581;3586;3587;3588;3589;3590;3592;3593;3594;3595;3596;3597;3600;3601;3604;3605;3606;3627;3791;3815;388372;3952;3953;3976;3977;4049;4050;4055;414062;4233;4254;4283;4352;4804;4982;5008;50615;50616;51330;5156;51561;5159;5196;5197;53832;53833;5473;55504;55540;55801;5617;5618;56832;57007;58191;58985;59067;60401;608;6348;6349;6351;6352;6370;6373;6376;6387;64109;643;64806;657;658;659;7040;7042;7043;7046;7048;7124;7132;7133;7173;7292;729230;7293;7424;7850;7852;84957;85480;8600;8718;8740;8741;8742;8743;8744;8764;8771;8784;8792;8807;8809;8995;90;91;9180;92;93;939;943;944;9547;9560;958;959;970;9966"
"path:00790"	"Folate biosynthesis"	"3/1382"	"11/21796"	0.0285825610146214	0.704207957949059	"249;251;8836"	"1719;2356;248;249;250;251;2643;5805;5860;6697;8836"
"path:04144"	"Endocytosis"	"20/1382"	"203/21796"	0.0336058048295116	0.704207957949059	"2065;2263;23396;26052;30011;3135;50807;51100;55738;6457;64744;7042;7046;7879;8218;83737;84552;867;93343;998"	"10015;10059;10193;10254;10617;10938;11031;11059;11267;11311;116983;116984;116985;116986;116987;1173;1175;1211;1212;1213;1234;128866;131890;137492;138429;1436;153;154;155;155382;156;157;160;1601;161;163;1759;1785;1950;1956;2060;2065;2066;2149;2261;2263;2264;22841;22905;23096;2321;23327;23362;23396;2348;2350;2352;23527;23550;23624;25978;26052;26056;26119;26286;27183;27243;2868;2869;2870;28964;29082;29924;30011;30844;30845;30846;3105;3106;3107;3133;3134;3135;3265;3303;3304;3305;3306;3310;3312;3480;3559;3560;3561;3577;3579;3791;3815;382;387;390243;3949;408;4087;4088;409;4091;4092;4193;4233;440073;4734;4914;50807;50855;51028;51100;51160;51510;51534;5156;51652;5337;5338;5371;55040;55048;55616;55738;5584;5590;56288;5662;56904;57132;57154;57403;5867;5868;5869;5878;5979;6011;60682;64145;64411;6455;6456;6457;64744;64750;652346;652614;6714;7037;7040;7042;7043;7046;7048;7189;7251;7852;7879;79643;79720;80223;80230;8027;8218;83737;8394;8395;8411;84249;84313;84364;84440;84552;84612;857;858;859;867;868;8766;8853;89853;9101;9135;9146;9230;92421;93343;9372;9525;9727;9744;9765;9815;9829;9922;998"
"path:04141"	"Protein processing in endoplasmic reticulum"	"17/1382"	"167/21796"	0.0364316758145514	0.704207957949059	"10299;10808;10970;11253;1410;1650;27102;3337;55757;5589;55968;5611;56886;6185;7322;7327;80331"	"100289713;10113;10130;10134;10273;10277;10294;10299;10427;10477;10483;10484;10525;10802;10808;10905;10952;10956;10960;10961;10970;11231;11253;118424;120329;1388;1409;1410;143630;1603;1649;1650;1965;201595;2081;22824;22872;22926;23193;23471;23480;23640;23645;258010;25956;26232;26270;267;27102;27248;285126;2923;29927;29978;29979;30001;3300;3301;3303;3304;3305;3306;3309;3310;3312;3320;3326;3337;3703;3998;4121;4217;4287;440275;468;4780;5034;50613;5071;51009;51128;51360;51465;51619;51726;54431;54788;55176;55432;55666;55741;55757;55768;55829;5589;55968;5599;5601;5602;5609;5610;5611;56605;56681;56886;56893;57134;573;578;581;5886;5887;596;6048;6184;6185;6238;6396;6400;64215;64374;6500;6745;6746;6747;6748;7095;7184;7186;7321;7322;7323;7324;7325;7326;7327;7353;7415;7466;7494;7841;79139;79748;7991;80267;80331;80700;811;81567;821;823;824;84447;8454;85479;8720;91319;92552;9373;9451;9532;9601;9632;9695;9709;9871;9978"
