"pathwayId"	"pathwayName"	"annMoleculeRatio"	"annBgRatio"	"pvalue"	"fdr"	"annMoleculeList"	"annBgMoleculeList"
"path:05220"	"Chronic myeloid leukemia"	"9/1015"	"72/21796"	0.00607787294550977	0.883066912134623	"1487;1488;3551;369;5595;5894;613;7046;7157"	"10000;1019;1021;1026;1027;1029;1147;1398;1399;1487;1488;1869;1870;1871;207;208;2122;23533;23624;25;25759;2885;3065;3066;3265;3551;369;3845;399694;4089;4193;4609;4790;4792;4893;5290;5291;5293;5294;5295;5296;53358;5594;5595;5604;5605;572;5781;5894;5925;595;5970;598;613;6464;6654;6655;673;6776;6777;7040;7042;7043;7046;7048;7157;8503;8517;861;867;868;9846"
"path:04115"	"p53 signaling pathway"	"8/1015"	"67/21796"	0.0123313210286307	0.883066912134623	"4194;50484;581;7157;7249;83667;8493;85417"	"1017;1019;1021;1026;1029;10912;1111;11200;143686;1643;1647;25898;27113;27244;2810;317;3479;3486;355;3732;4193;4194;4616;472;50484;5054;51246;51512;5268;5366;54205;545;55240;55367;56475;5728;575;581;595;6241;637;63970;64065;64326;64393;6477;651610;7157;7161;7249;836;83667;841;842;8493;85417;891;894;896;898;900;901;9133;9134;9538;9540;983"
"path:04623"	"Cytosolic DNA-sensing pathway"	"7/1015"	"56/21796"	0.0147709946083725	0.883066912134623	"10622;3551;3606;3661;81030;834;9560"	"103;10621;10622;10623;11035;11128;11277;1147;171568;23586;29108;29110;340061;3439;3440;3441;3442;3443;3444;3445;3446;3447;3448;3449;3451;3452;3456;3551;3553;3569;3606;3627;3661;3665;388372;4790;4792;4793;51082;51728;55703;57506;5970;6351;6352;661;81030;834;84265;8517;8737;90865;9447;9533;9560;9641"
"path:03050"	"Proteasome"	"6/1015"	"45/21796"	0.0173551302409815	0.883066912134623	"10197;23198;5690;5693;5694;5706"	"10197;10213;122706;143471;23198;3458;51371;5682;5683;5684;5685;5686;5687;5688;5689;5690;5691;5692;5693;5694;5695;5696;5698;5699;5700;5701;5702;5704;5705;5706;5707;5708;5709;5710;5713;5714;5717;5718;5719;5720;5721;652826;7979;9491;9861"
"path:04150"	"mTOR signaling pathway"	"6/1015"	"52/21796"	0.0330588941049608	0.883066912134623	"1977;3091;5595;6196;7248;7249"	"10000;1975;1977;1978;207;208;2277;23533;2475;253260;253314;25989;27330;3091;3479;3630;5170;51719;5228;5290;5291;5293;5294;5295;5296;54541;5562;5563;5594;5595;57521;6009;6194;6195;6196;6197;6198;6199;64223;673;6794;7248;7249;7422;7423;7424;81617;8408;8503;92335;9470;9706"
"path:03320"	"PPAR signaling pathway"	"7/1015"	"67/21796"	0.0358501825660734	0.883066912134623	"10580;10999;116519;2168;2181;2710;4312"	"10062;10580;10998;10999;11001;116519;126129;1374;1375;1376;1579;1581;1582;1593;1622;1962;2167;2168;2169;2170;2171;2172;2173;2180;2181;2182;23305;2710;2712;284541;28965;30;33;335;336;34;345;3611;364;376497;4023;4312;4973;51;5105;5106;51129;5170;51703;5346;5360;5465;5467;5468;6256;6257;6258;6319;6342;7316;7350;79966;8309;8310;9370;9415;948"
"path:05219"	"Bladder cancer"	"5/1015"	"40/21796"	0.0370234434597964	0.883066912134623	"369;4312;5595;5894;7157"	"1019;1026;1029;11186;1612;1613;1869;1870;1871;1890;1950;1956;2064;2261;2277;23604;3265;3576;369;3845;4193;4312;4313;4318;4609;4893;5228;5594;5595;5604;5605;5894;5925;595;673;7157;7422;7423;7424;999"
"path:05223"	"Non-small cell lung cancer"	"6/1015"	"54/21796"	0.0388234124890017	0.883066912134623	"2309;369;5595;5894;5915;7157"	"10000;1019;1021;1029;11186;1869;1870;1871;1950;1956;2064;207;208;2272;2309;23533;2885;3265;369;3845;4893;5170;5290;5291;5293;5294;5295;5296;5335;5336;5578;5579;5582;5594;5595;5604;5605;572;5894;5915;5925;595;6256;6257;6258;6654;6655;673;6789;7039;7157;83593;842;8503"
"path:04530"	"Tight junction"	"11/1015"	"131/21796"	0.0423632870752191	0.883066912134623	"10627;11336;2036;29895;4619;4620;4629;4633;5518;55844;88"	"10000;1019;10207;103910;10398;10627;10686;11336;1364;1365;1366;137075;1457;1459;1460;149461;1495;1496;1499;150084;154810;2017;2035;2036;2037;207;208;22800;22808;22989;23136;23562;24146;260425;26285;27134;2770;2771;2773;29119;29895;3059;3265;3845;387;3993;3996;4301;4619;4620;4621;4622;4624;4625;4626;4627;4628;4629;4633;4636;4893;4950;49861;5010;50848;50855;51208;51776;53842;5515;5516;5518;5519;5520;5521;5522;5578;5579;5580;5581;5582;5583;5584;55844;55870;5588;5590;56288;5728;57530;57644;58494;58498;5865;5872;60;60412;6237;64398;6714;7082;71;7122;7525;79784;81;8189;83700;84552;84612;8531;8573;87;8735;8777;88;89;9071;9073;9074;9075;9076;9080;9218;9223;92359;93408;93643;9414;9863;998"
"path:04662"	"B cell receptor signaling pathway"	"7/1015"	"70/21796"	0.0439270520341262	0.883066912134623	"11261;3551;5595;5894;930;974;975"	"10000;10451;10725;10892;11261;1147;118788;1380;207;208;2353;23533;25780;27071;2885;2932;29760;3265;3551;3635;3725;3845;4067;4772;4773;4775;4776;4790;4792;4793;4794;4893;5290;5291;5293;5294;5295;5296;5530;5532;5533;5534;5535;5594;5595;5604;5605;5777;5879;5880;5881;5894;5970;63928;6654;6655;6850;695;7409;7410;84433;8503;8517;8915;930;933;971;973;974;975"
