"pathwayId"	"pathwayName"	"annMoleculeRatio"	"annBgRatio"	"pvalue"	"fdr"	"annMoleculeList"	"annBgMoleculeList"
"path:00514"	"O-Mannosyl glycan biosynthesis"	"2/1316"	"3/21796"	0.0104894432175466	0.670687605898082	"10585;55624"	"10585;29954;55624"
"path:05130"	"Pathogenic Escherichia coli infection"	"8/1316"	"52/21796"	0.0121508285000504	0.670687605898082	"203068;25;347733;60;7277;7280;8440;8976"	"10092;10093;10094;10095;10109;10376;10381;10382;10383;10552;112714;113457;1499;2017;203068;23643;25;2534;3059;347688;347733;3688;387;4690;4691;4950;51807;56604;60;6093;653888;7099;71;7100;7277;7278;7280;7430;7454;7846;79861;81027;81873;8440;84617;84790;8976;9181;929;9475;998;999"
"path:04141"	"Protein processing in endoplasmic reticulum"	"18/1316"	"167/21796"	0.0122995411075927	0.670687605898082	"10952;10970;11253;1410;1650;27102;3303;3312;3337;3703;55432;55757;5589;56605;56886;6185;7327;9695"	"100289713;10113;10130;10134;10273;10277;10294;10299;10427;10477;10483;10484;10525;10802;10808;10905;10952;10956;10960;10961;10970;11231;11253;118424;120329;1388;1409;1410;143630;1603;1649;1650;1965;201595;2081;22824;22872;22926;23193;23471;23480;23640;23645;258010;25956;26232;26270;267;27102;27248;285126;2923;29927;29978;29979;30001;3300;3301;3303;3304;3305;3306;3309;3310;3312;3320;3326;3337;3703;3998;4121;4217;4287;440275;468;4780;5034;50613;5071;51009;51128;51360;51465;51619;51726;54431;54788;55176;55432;55666;55741;55757;55768;55829;5589;55968;5599;5601;5602;5609;5610;5611;56605;56681;56886;56893;57134;573;578;581;5886;5887;596;6048;6184;6185;6238;6396;6400;64215;64374;6500;6745;6746;6747;6748;7095;7184;7186;7321;7322;7323;7324;7325;7326;7327;7353;7415;7466;7494;7841;79139;79748;7991;80267;80331;80700;811;81567;821;823;824;84447;8454;85479;8720;91319;92552;9373;9451;9532;9601;9632;9695;9709;9871;9978"
"path:03030"	"DNA replication"	"6/1316"	"36/21796"	0.0196439746933375	0.670687605898082	"4171;54107;5422;5426;6117;84153"	"10535;10714;1763;2237;23649;246243;29935;3978;4171;4172;4173;4174;4175;4176;5111;54107;5422;5424;5425;5426;5427;5557;5558;56655;57804;5981;5982;5983;5984;5985;6117;6118;6119;6742;79621;84153"
"path:00562"	"Inositol phosphate metabolism"	"8/1316"	"57/21796"	0.020501616185592	0.670687605898082	"23396;3612;3631;3632;4329;5287;5297;8871"	"10423;113026;138429;200576;23236;23396;253430;27124;3612;3613;3628;3631;3632;3633;3636;3705;3706;3707;4329;4952;51196;51477;51763;5286;5287;5288;5289;5290;5291;5293;5294;5297;5298;5305;5330;5331;5332;5333;5335;5336;55300;55361;55586;56623;5728;64768;7167;79837;8394;8395;8396;84812;8821;8867;8871;89869;9562"
"path:03040"	"Spliceosome"	"14/1316"	"128/21796"	0.022521056851831	0.670687605898082	"10285;10286;22985;23020;23451;23658;24148;27258;3178;3303;3312;4686;6431;6625"	"10084;10189;10262;10285;10286;10291;10450;10465;10523;10569;10594;10713;10772;10907;10915;10929;10946;10992;11017;11157;11325;11338;144983;151903;153527;1655;1659;1665;220988;22827;22916;22938;22985;23020;23350;23450;23451;23658;24148;25766;25804;25949;26121;27258;27316;27339;29896;3178;3183;3190;3192;3303;3304;3305;3306;3310;3312;4116;4670;4686;4809;494115;5093;51340;51362;51503;51639;51645;51690;51691;51729;5356;55110;55119;55660;55696;56259;56949;57187;57461;57819;58517;6426;6427;6428;6429;6430;6431;6432;6434;653884;6625;6626;6627;6628;6629;6631;6632;6633;6634;6635;6636;6637;7307;7919;8175;83443;84321;8449;84844;84950;84991;8559;8683;8896;9092;9128;9129;9343;9410;9416;9716;9775;9785;9879;988;9939;9984"
"path:00510"	"N-Glycan biosynthesis"	"7/1316"	"48/21796"	0.0242189831840665	0.670687605898082	"11253;1650;29929;3703;4249;6185;79868"	"10195;10905;11253;11282;11320;144245;146664;1603;1650;1798;199857;201595;22845;23193;2530;25834;2683;29880;29929;3703;4121;4122;4124;4245;4247;4248;4249;440138;54344;56052;57134;57171;6184;6185;6480;7841;79053;79087;79796;79868;7991;84920;85365;8703;8704;8813;8818;91869"
"path:03440"	"Homologous recombination"	"5/1316"	"28/21796"	0.0245000038684231	0.670687605898082	"5888;5893;6117;7517;80198"	"10111;10714;146956;25788;29935;4361;4683;5424;5425;57804;5888;5889;5890;5892;5893;6117;6118;6119;641;6742;675;7156;7516;7517;7979;80198;8438;8940"
"path:03430"	"Mismatch repair"	"4/1316"	"23/21796"	0.0467510752107879	0.950807693005611	"4436;5395;6117;9156"	"10714;27030;2956;29935;3978;4292;4436;4437;5111;5395;5424;5425;57804;5981;5982;5983;5984;5985;6117;6118;6119;6742;9156"
