"pathwayId"	"pathwayName"	"annMoleculeRatio"	"annBgRatio"	"pvalue"	"fdr"	"annMoleculeList"	"annBgMoleculeList"
"path:03040"	"Spliceosome"	"12/975"	"128/21796"	0.0122876378930705	1	"10465;23020;23451;23658;24148;27258;3178;3303;55660;6431;6625;9939"	"10084;10189;10262;10285;10286;10291;10450;10465;10523;10569;10594;10713;10772;10907;10915;10929;10946;10992;11017;11157;11325;11338;144983;151903;153527;1655;1659;1665;220988;22827;22916;22938;22985;23020;23350;23450;23451;23658;24148;25766;25804;25949;26121;27258;27316;27339;29896;3178;3183;3190;3192;3303;3304;3305;3306;3310;3312;4116;4670;4686;4809;494115;5093;51340;51362;51503;51639;51645;51690;51691;51729;5356;55110;55119;55660;55696;56259;56949;57187;57461;57819;58517;6426;6427;6428;6429;6430;6431;6432;6434;653884;6625;6626;6627;6628;6629;6631;6632;6633;6634;6635;6636;6637;7307;7919;8175;83443;84321;8449;84844;84950;84991;8559;8683;8896;9092;9128;9129;9343;9410;9416;9716;9775;9785;9879;988;9939;9984"
"path:00510"	"N-Glycan biosynthesis"	"6/975"	"48/21796"	0.0195139597056531	1	"11253;1650;4249;6185;7991;8813"	"10195;10905;11253;11282;11320;144245;146664;1603;1650;1798;199857;201595;22845;23193;2530;25834;2683;29880;29929;3703;4121;4122;4124;4245;4247;4248;4249;440138;54344;56052;57134;57171;6184;6185;6480;7841;79053;79087;79796;79868;7991;84920;85365;8703;8704;8813;8818;91869"
"path:03440"	"Homologous recombination"	"4/975"	"28/21796"	0.0346669689544952	1	"5888;5889;5893;6117"	"10111;10714;146956;25788;29935;4361;4683;5424;5425;57804;5888;5889;5890;5892;5893;6117;6118;6119;641;6742;675;7156;7516;7517;7979;80198;8438;8940"
"path:05414"	"Dilated cardiomyopathy"	"8/975"	"85/21796"	0.036244332032964	1	"10369;2010;2778;3678;60;7042;7169;781"	"10368;10369;107;108;109;111;112;113;114;115;153;1605;1674;1756;196883;2010;22801;27091;27092;2778;3479;3655;3672;3673;3674;3675;3676;3678;3679;3680;3685;3688;3690;3691;3693;3694;3695;3696;4000;4607;4633;4634;5350;5566;5567;5568;55799;5613;59283;59284;59285;60;6262;6442;6443;6444;6445;70;7040;7042;7043;71;7124;7134;7137;7139;7168;7169;7170;7171;7273;775;776;778;779;781;782;783;784;785;786;8515;8516;9254;93589"
"path:05412"	"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	"7/975"	"71/21796"	0.0391055125475738	1	"10369;1496;2010;3678;60;781;88"	"1000;10368;10369;1495;1496;1499;1605;1674;1756;1824;1829;1832;2010;22801;2697;27091;27092;29119;3655;3672;3673;3674;3675;3676;3678;3679;3680;3685;3688;3690;3691;3693;3694;3695;3696;3728;4000;51176;5318;55799;59283;59284;59285;60;6262;6442;6443;6444;6445;6932;6934;71;775;776;778;779;781;782;783;784;785;786;81;83439;8515;8516;87;88;89;9254;93589"
"path:05416"	"Viral myocarditis"	"7/975"	"71/21796"	0.0391055125475738	1	"25;3117;3118;4619;4620;4629;60"	"100133583;1525;1604;1605;1756;1981;1982;22989;25;2534;27;3105;3106;3107;3108;3109;3111;3112;3113;3115;3117;3118;3119;3122;3123;3125;3126;3127;3133;3134;3135;3383;3683;3689;4619;4620;4621;4622;4624;4625;4626;4627;4628;4629;54205;5551;57644;5879;5880;5881;595;60;637;6442;6443;6444;6445;652614;71;79784;836;841;842;857;8672;8735;940;941;942;958;959"
"path:05310"	"Asthma"	"4/975"	"30/21796"	0.0432805648010268	1	"3117;3118;3596;5553"	"100133583;2205;2206;2207;3108;3109;3111;3112;3113;3115;3117;3118;3119;3122;3123;3125;3126;3127;3562;3565;3567;3578;3586;3596;5553;6037;7124;8288;958;959"
"path:00472"	"D-Arginine and D-ornithine metabolism"	"1/975"	"1/21796"	0.0447329785281712	1	"1610"	"1610"
