"mRNA","coef","p"
"ENSG00000216937",-0.423923881904502,0.121374204959484
"ENSG00000132002",-0.286998316223522,0.0947825734618359
"ENSG00000161681",0.0968006698033949,0.690113306651491
"ENSG00000124006",0.478277507060955,0.00134183147866096
"ENSG00000151422",0.627881650613134,0.0280914021515014
"ENSG00000198075",0.092358586971465,0.411808739514042
"ENSG00000203697",-0.20372831486093,0.0184223836367174
"ENSG00000180263",0.353704129074859,0.0291258241323648
"ENSG00000221990",-0.305476829335169,0.151206029364987
"ENSG00000186367",0.176539564955509,0.384221356529625
"ENSG00000077585",-0.191538634101095,0.281647850886046
"ENSG00000172243",0.040780727448668,0.607246438044182
"ENSG00000132763",-0.0394674953428529,0.76342986860985
"ENSG00000106536",-0.0450125687292471,0.516895760117935
"ENSG00000128242",-0.112791493404079,0.444765256079523
"ENSG00000123545",0.429543076885443,0.0644157106382741
"ENSG00000180902",0.169487760120065,0.377482517692568
"ENSG00000157837",0.0798037165412079,0.757360681269594
"ENSG00000196832",-0.220456456384522,0.356256934652805
"ENSG00000127870",0.800047828273349,0.000461561093704321
"ENSG00000124466",-0.271692438100331,0.00512315824506671
"ENSG00000101871",-0.0475328641059371,0.728069948407577
"ENSG00000106263",0.11490379144462,0.688180379595797
"ENSG00000206503",0.710234127631238,0.0109222278321166
"ENSG00000136897",-0.0125194546714398,0.948110485714701
"ENSG00000134759",-0.109500910422385,0.631165975204081
"ENSG00000198467",0.605850112841538,0.00151122011527061
"ENSG00000038002",0.146222840422635,0.309494744250182
"ENSG00000197168",0.13559749420108,0.209212979391714
"ENSG00000163218",-0.0582484201038035,0.307721050491937
"ENSG00000078401",-0.358734017377546,0.00084461711478967
"ENSG00000148634",0.268607241925244,0.148374558354051
"ENSG00000156103",0.135929231256623,0.153173753610859
"ENSG00000169925",0.362845016623001,0.20578181934344
"ENSG00000069206",0.235049720279618,0.211853366956057
"ENSG00000142961",-0.381507629058411,0.00353422737881359
"ENSG00000140025",0.425102886377134,0.0205117052540301
"ENSG00000088367",0.0568389574887018,0.753192458010247
"ENSG00000163346",0.0777483022723502,0.738258926678081
"ENSG00000146776",0.666983946737273,0.00182061220690022
"ENSG00000151790",0.0435388746058475,0.397957889702763
"ENSG00000138311",0.138338161372319,0.335736702824242
"ENSG00000168872",0.393809994827723,0.0734903389035785
"ENSG00000182685",0.570573318068823,0.0255725226253724
"ENSG00000178971",0.0457467865500858,0.815786540415457
"ENSG00000161016",0.357599753473317,0.416852096570986
"ENSG00000245848",-0.392073116885946,0.0615238231120788
"ENSG00000169554",0.0669038993150334,0.634898882721825
"ENSG00000147138",-0.0287453978627478,0.74194273107195
"ENSG00000163596",0.0502792524951353,0.670630535240355
"ENSG00000137103",-0.0534512617071295,0.751169653872922
"ENSG00000107951",0.000351240241047895,0.998013885502545
