"mRNA","coef","p"
"ENSG00000216937",0.403727389055374,0.112763220705253
"ENSG00000132002",-0.554564544072235,0.00257590370813454
"ENSG00000161681",-0.249439604395651,0.291518839673897
"ENSG00000124006",0.140257867272308,0.327168419918848
"ENSG00000151422",0.450638373153296,0.150049927751478
"ENSG00000198075",0.186760796204318,0.176864475813491
"ENSG00000203697",-0.0840948223532542,0.315298263460492
"ENSG00000180263",0.115092973347041,0.489973502869939
"ENSG00000221990",-0.337946256236275,0.101277925953714
"ENSG00000186367",0.0867538262117168,0.661876445248177
"ENSG00000077585",0.0809214640256532,0.605101838518838
"ENSG00000172243",0.0547215201891022,0.490960114823257
"ENSG00000132763",-0.147925024892017,0.182841468174133
"ENSG00000106536",-0.0558749461361582,0.412946995040786
"ENSG00000128242",-0.520870360720513,0.0130682842073304
"ENSG00000123545",-0.143388361737045,0.493403086914253
"ENSG00000180902",0.013568633100534,0.945134093029871
"ENSG00000157837",0.0121469298386307,0.962644207982154
"ENSG00000196832",-0.308440648789734,0.272074830882475
"ENSG00000127870",0.271620081341547,0.228415788848247
"ENSG00000124466",-0.126102870120557,0.219595493588468
"ENSG00000101871",0.108684913517339,0.52682865263149
"ENSG00000106263",-0.323143264052847,0.241766444124736
"ENSG00000206503",0.362695241303998,0.0774698129431814
"ENSG00000136897",-0.46201925175324,0.0291045569090052
"ENSG00000134759",-0.649592203931279,0.0009634115363929
"ENSG00000198467",0.342120271149558,0.0585059827767047
"ENSG00000038002",0.0147537982157489,0.938922606877987
"ENSG00000197168",-0.10659196161912,0.294277728619505
"ENSG00000163218",-0.168905788077553,0.0125355319527608
"ENSG00000078401",-0.225609017210792,0.036101466091394
"ENSG00000148634",-0.244252909973488,0.171054515707465
"ENSG00000156103",0.139165286135967,0.174002702335482
"ENSG00000169925",-0.0286579357543398,0.922447534200241
"ENSG00000069206",-0.126589675257779,0.514338740530743
"ENSG00000142961",-0.209321283559672,0.134598295344792
"ENSG00000140025",0.609092955128599,0.000220976667048567
"ENSG00000088367",-0.0152160006884186,0.923195956618342
"ENSG00000163346",0.417291268823591,0.0766432878182106
"ENSG00000146776",0.193664798739109,0.285178413483137
"ENSG00000151790",0.0622592971012889,0.277716181237625
"ENSG00000138311",-0.0171518317809881,0.918087014107302
"ENSG00000168872",0.279631960853789,0.144893506590965
"ENSG00000182685",-0.0690768073808215,0.756642691014335
"ENSG00000178971",-0.0565554047335225,0.783757137967765
"ENSG00000161016",-0.738901424304657,0.0818142887513011
"ENSG00000245848",-0.543279989809301,0.00438941376950974
"ENSG00000169554",0.0411032781391634,0.782820697671167
"ENSG00000147138",0.0678189797606086,0.514437365097207
"ENSG00000163596",-0.0320319588770417,0.747307226715296
"ENSG00000137103",0.0535654682004284,0.672973680755438
"ENSG00000107951",-0.0101475362166096,0.946859667553887
"ENSG00000105248",-0.150974850541565,0.473137127769304
"ENSG00000102547",0.14744377421872,0.26569885119123
"ENSG00000133112",-0.0582948246026768,0.835793689739813
"ENSG00000188909",-0.19653698732144,0.361747478018471
"ENSG00000249158",-0.0487743040209721,0.658467991586932
"ENSG00000078269",0.596859370331322,0.0560116468843815
"ENSG00000123983",0.88430579969466,0.000117393259068566
"ENSG00000188868",-0.125877592412099,0.401546599581237
"ENSG00000181378",-0.114037868046729,0.618830695611391
"ENSG00000110536",-0.49141740561418,0.0655644702976041
"ENSG00000162407",0.1762292077089,0.2584662562479
"ENSG00000128581",0.336788748309695,0.0517614960157887
"ENSG00000182253",0.311849412831006,0.00151850941164811
"ENSG00000124588",-0.0532588240309359,0.640369410967519
"ENSG00000108861",0.440604545677515,0.0496991601653806
"ENSG00000144867",-0.0979151895243222,0.687324745132176
"ENSG00000085274",0.237266543650201,0.33039042475638
"ENSG00000180817",-0.589845111073628,0.00718612836539101
"ENSG00000198959",0.435921582315956,0.000133243992941456
"ENSG00000140263",0.27003484927009,0.0883171625365385
"ENSG00000166206",-0.00807851244096851,0.930843924591936
"ENSG00000170324",-0.0514340627694097,0.306855366343473
"ENSG00000205853",-0.238082431689109,0.170497529634889
"ENSG00000157349",0.533429054882601,0.0209763013580493
"ENSG00000255529",0.153287844741732,0.258786428244098
"ENSG00000181903",-0.324533467215297,0.138658661867126
"ENSG00000147454",-0.346199447210485,0.1197869546502
"ENSG00000131781",-0.21126119648469,0.070925417300685
"ENSG00000181751",-0.226478474435425,0.173739768581509
"ENSG00000160298",0.193498906095392,0.485008395589173
"ENSG00000136141",-0.0531286124513212,0.796912807585182
"ENSG00000166167",0.238379503690526,0.212371887125574
"ENSG00000162415",-0.00655550396461271,0.954981878726385
"ENSG00000088833",-0.232196516376104,0.314650436828812
"ENSG00000125844",0.243262723634305,0.329399946515151
"ENSG00000180767",0.249469931603156,0.314366658752631
"ENSG00000178821",-0.251523673118381,0.103659257525165
"ENSG00000155966",-0.0675020299415457,0.332343942358261
"ENSG00000167770",0.0381345705815144,0.890593145571082
"ENSG00000100201",0.246487230974339,0.495303351792822
"ENSG00000171540",-0.253170131310526,0.314140914133017
"ENSG00000254999",-0.229734356962513,0.302818470518065
"ENSG00000117525",0.0206926452638362,0.821418388571963
"ENSG00000131153",-0.0163971966888515,0.911137482990504
"ENSG00000164627",-0.011977850466938,0.911841653181169
"ENSG00000013293",0.184972125049928,0.1815074114194
"ENSG00000205846",-0.159046246219089,0.131336790116979
