"mRNA","coef","p"
"ENSG00000216937",-0.387428986109873,0.106005590817312
"ENSG00000132002",-0.26816644166486,0.165862606163309
"ENSG00000161681",-0.725014368049246,0.00377756824189879
"ENSG00000124006",-0.0496704544660298,0.783869823974881
"ENSG00000151422",0.42803296782573,0.168928986610424
"ENSG00000198075",0.0938075865380577,0.505626798535743
"ENSG00000203697",-0.0919452634265411,0.26492345681816
"ENSG00000180263",0.435483783251451,0.027190588091307
"ENSG00000221990",-0.5039638698932,0.0423032678940032
"ENSG00000186367",0.398572674987676,0.0755462381030989
"ENSG00000077585",0.183988137175438,0.310369522629692
"ENSG00000172243",0.0127081512916036,0.875600855999943
"ENSG00000132763",0.174635623669009,0.225850476218948
"ENSG00000106536",0.0245998817462757,0.762008959510174
"ENSG00000128242",-0.196401854125045,0.218744543909287
"ENSG00000123545",0.500707004666951,0.056035299397365
"ENSG00000180902",0.062323906165287,0.758813210837354
"ENSG00000157837",-0.051203793189438,0.851487419852774
"ENSG00000196832",-0.118389270994053,0.61042919424983
"ENSG00000127870",1.05410272830521,5.40998340742282e-05
"ENSG00000124466",-0.288924662387445,0.0110660489363982
"ENSG00000101871",-0.513163558090688,0.00561781752581758
"ENSG00000106263",-0.0871265564229724,0.783035989859023
"ENSG00000206503",0.263871126743668,0.151331747848109
"ENSG00000136897",0.100609941041392,0.631645860055347
"ENSG00000134759",-0.178394243124615,0.478916806795364
"ENSG00000198467",0.615173345856397,0.00158771230554899
"ENSG00000038002",0.0291623075587574,0.878800548538095
"ENSG00000197168",-0.460684624682292,0.00029831661118207
"ENSG00000163218",0.135565870064798,0.0560400681550933
"ENSG00000078401",-0.404835298351469,0.00159875253037511
"ENSG00000148634",0.609346232800212,0.0408016077384468
"ENSG00000156103",0.404651161914105,0.000137534710664133
"ENSG00000169925",0.318090088224481,0.303402129323832
"ENSG00000069206",-0.242511202504671,0.207931373074019
"ENSG00000142961",-0.619364983200515,0.00236431381206492
"ENSG00000140025",0.525367985626378,0.00240690710309832
"ENSG00000088367",-0.349258084774329,0.0887113116084632
"ENSG00000163346",-0.00118369902447547,0.996202156976897
"ENSG00000146776",0.656332402353682,0.00127827416614001
"ENSG00000151790",0.0704673947989353,0.299165938191446
"ENSG00000138311",-0.18560554670502,0.244484100303658
"ENSG00000168872",0.05358506149579,0.801348009175565
"ENSG00000182685",-0.598569679614646,0.0376450185090822
"ENSG00000178971",-0.129633089655946,0.544028233192773
"ENSG00000161016",-0.278066814808018,0.563299037182741
"ENSG00000245848",-0.725334808826664,0.000412137392527323
"ENSG00000169554",-0.102427703310497,0.530716589421564
"ENSG00000147138",-0.0575490627189434,0.532271318457329
"ENSG00000163596",0.0575788484807189,0.60862484409059
"ENSG00000137103",-0.0297888766345189,0.862417970112623
"ENSG00000107951",0.073710076487053,0.631144420288442
"ENSG00000105248",-0.319103978330458,0.202593800401941
"ENSG00000102547",0.42633333590322,0.00270996865370154
"ENSG00000133112",0.0939455214933498,0.749935417099708
"ENSG00000188909",-0.404104367850869,0.10090276373463
"ENSG00000249158",-0.181886021812679,0.139225566928427
"ENSG00000078269",0.935643795677028,0.00511923712718343
"ENSG00000123983",0.562662917903135,0.0176703915762833
"ENSG00000188868",0.347831914869041,0.130641877455286
"ENSG00000181378",-0.690001727225581,0.00977272996517753
"ENSG00000110536",0.251940603326732,0.369184172958328
"ENSG00000162407",0.0867599871173272,0.54792947395158
"ENSG00000128581",0.24378730711465,0.173030489658592
"ENSG00000182253",0.307238714469993,0.00702165688546708
"ENSG00000124588",0.0580612827784903,0.636321870874178
"ENSG00000108861",0.600931194306068,0.0319196616970414
"ENSG00000144867",-0.17587889102818,0.50234464999016
"ENSG00000085274",0.276226179569799,0.345043960282844
"ENSG00000180817",-0.0849965528101325,0.734548290557109
"ENSG00000198959",0.163170758032024,0.0769576459064508
"ENSG00000140263",0.628957278993935,2.13567855780195e-05
"ENSG00000166206",-0.12253517022483,0.30783921042741
"ENSG00000170324",-0.00678222281088477,0.894600487592508
"ENSG00000205853",-0.243773807847809,0.171480866872856
"ENSG00000157349",0.0513155503167983,0.843560759700029
"ENSG00000255529",0.420639461747746,0.0109192600916351
"ENSG00000181903",-0.500461407548676,0.0442630398813892
"ENSG00000147454",0.154681904927295,0.500564478292883
"ENSG00000131781",-0.0509096651762318,0.763919822153399
"ENSG00000181751",-0.159954530460264,0.273518367293967
"ENSG00000160298",0.0941127326100288,0.760847684960753
"ENSG00000136141",0.499511656297724,0.0339037351045602
"ENSG00000166167",0.805882230728049,0.00506376417335253
"ENSG00000162415",0.0508645256429934,0.686124368354292
"ENSG00000088833",-0.312836829082524,0.224218355744977
"ENSG00000125844",0.0366632850931476,0.899915181706188
"ENSG00000180767",-0.0743433016976895,0.757206812026197
"ENSG00000178821",-0.542258260013177,0.00238267569215589
"ENSG00000155966",-0.0526506406418492,0.507647100373934
"ENSG00000167770",0.681324172000427,0.0369379441981708
"ENSG00000100201",-0.174860656933967,0.674502605964852
"ENSG00000171540",0.0494466337445662,0.857461369669271
"ENSG00000254999",0.018327013395306,0.940474316774844
"ENSG00000117525",0.179020090285921,0.130365109425813
"ENSG00000131153",0.0625128818525434,0.755271033775441
"ENSG00000164627",0.181906734352291,0.476480038370804
"ENSG00000013293",0.0494332740440093,0.715549081783318
"ENSG00000205846",0.000896281097714171,0.993988843636856
"ENSG00000105887",0.40263713776704,0.108011319344698
"ENSG00000198807",0.0115152056742653,0.908311574205965
"ENSG00000118960",0.261873357988948,0.342613303212674
"ENSG00000122741",0.417514586573168,0.0213811476046618
"ENSG00000182919",0.12225313047307,0.446736418700932
"ENSG00000092969",0.185247240166557,0.0985921941287515
"ENSG00000223572",0.034338049956717,0.802062451327363
"ENSG00000008394",0.0686990167704764,0.30419286380365
"ENSG00000114698",0.340068423891582,0.0476565323438201
"ENSG00000100906",0.0082109698302147,0.972047125564264
"ENSG00000143195",0.36767847140464,0.0442878441314489
"ENSG00000168060",0.353178754768144,0.0373011138280308
"ENSG00000176092",-0.331139660478264,0.0612467139703174
