"mRNA","coef","p"
"ENSG00000216937",0.0830610813819043,0.6847901499132
"ENSG00000132002",-0.369778444311009,0.0341766153252757
"ENSG00000161681",-0.62828061872288,0.0180226902264926
"ENSG00000124006",0.153411189293518,0.359514780622108
"ENSG00000151422",0.612527697649831,0.0111949606374854
"ENSG00000198075",0.165696532236424,0.114299829527518
"ENSG00000203697",-0.0764459714059585,0.316804110232725
"ENSG00000180263",0.417952169756995,0.00702356277904781
"ENSG00000221990",-0.310847848760281,0.114323649998597
"ENSG00000186367",0.176152355189265,0.427990785811761
"ENSG00000077585",0.201560087810823,0.253803381020755
"ENSG00000172243",0.0657960354260742,0.366461596115524
"ENSG00000132763",0.0570543989522163,0.629621344192175
"ENSG00000106536",0.0116867478943076,0.867257955399488
"ENSG00000128242",0.0355117626085149,0.77739828490204
"ENSG00000123545",0.439599083689179,0.092534649451081
"ENSG00000180902",0.0295242155434121,0.87209867814851
"ENSG00000157837",-0.0640983590092629,0.783615601380288
"ENSG00000196832",-0.0725129367206695,0.737498575647914
"ENSG00000127870",0.795578728671749,0.00119963249141797
"ENSG00000124466",-0.248799857100536,0.0116875540959112
"ENSG00000101871",-0.197392627535024,0.156186439224634
"ENSG00000106263",0.366187328476948,0.209970892534428
"ENSG00000206503",0.366601518093229,0.105340423253121
"ENSG00000136897",0.094894414911955,0.610738141236732
"ENSG00000134759",-0.0488662161067329,0.843282308877551
"ENSG00000198467",0.338181976968966,0.0691873888052134
"ENSG00000038002",0.281394768346654,0.0857140525291573
"ENSG00000197168",-0.313147825183989,0.0138350431598837
"ENSG00000163218",-0.0907705580131464,0.0907311517912404
"ENSG00000078401",-0.103899962009113,0.327731370980198
"ENSG00000148634",0.189597630479278,0.311820652038417
"ENSG00000156103",0.190380989197676,0.0524388020519978
"ENSG00000169925",0.532869615166209,0.0654130618089899
"ENSG00000069206",0.179003235405256,0.345437434691306
"ENSG00000142961",-0.451572531903046,0.0013324429401611
"ENSG00000140025",0.690953853868841,1.78635056803378e-05
"ENSG00000088367",-0.0984112649489842,0.578554829964523
"ENSG00000163346",0.34792365173369,0.149842992663685
"ENSG00000146776",0.170585559773371,0.39645002583927
"ENSG00000151790",0.0511201478765172,0.375506392854737
"ENSG00000138311",-0.0195388173200111,0.899335326287888
"ENSG00000168872",0.161965373615861,0.422838424816354
"ENSG00000182685",0.346891602820059,0.141066193921769
"ENSG00000178971",-0.283952036072087,0.217474238828402
"ENSG00000161016",-0.157140538974591,0.742613691722113
"ENSG00000245848",-0.638626917352099,0.00029673518421891
"ENSG00000169554",0.175812315567294,0.233074557596829
"ENSG00000147138",0.016417476392642,0.842610827847421
"ENSG00000163596",0.103457093108107,0.369875286843356
"ENSG00000137103",0.0978778092095573,0.537559769822866
"ENSG00000107951",0.0283742212079644,0.8500822183802
"ENSG00000105248",-0.000805636074240949,0.997297944000268
"ENSG00000102547",0.317226402617989,0.0210665759592709
"ENSG00000133112",-0.00603475271338882,0.979879646021602
"ENSG00000188909",-0.478703892040399,0.0597289420711706
"ENSG00000249158",0.0495470412586416,0.692383855046641
"ENSG00000078269",0.362271281708957,0.230766979910358
"ENSG00000123983",0.884648356139824,2.05955087841936e-05
"ENSG00000188868",-0.248357730857202,0.150322297912711
"ENSG00000181378",-0.371768303905766,0.116610043726132
"ENSG00000110536",0.778362531181505,0.00763004459953409
"ENSG00000162407",0.212295027554142,0.162609444503652
