"mRNA","coef","p"
"ENSG00000216937",0.248430651038513,0.391966954670418
"ENSG00000132002",-0.938542839692415,6.46767712719765e-07
"ENSG00000161681",0.0842691124830516,0.732337646238875
"ENSG00000124006",0.858211190264519,4.62606009776767e-06
"ENSG00000151422",0.387949698829627,0.161232416694369
"ENSG00000198075",0.270733941188412,0.0219520990741334
"ENSG00000203697",-0.279778697696996,0.00236796347876012
"ENSG00000180263",-0.0569362536996653,0.70946302281888
"ENSG00000221990",-0.155617789529393,0.505223936327242
"ENSG00000186367",0.44191901905848,0.0254717381186416
"ENSG00000077585",-0.0204861714858484,0.913324293137563
"ENSG00000172243",-0.333273001736464,0.000752517141483722
"ENSG00000132763",-0.363368848306105,0.00584163161087647
"ENSG00000106536",0.0477210896549087,0.606934265600295
"ENSG00000128242",-0.0108712873354274,0.942696241448891
"ENSG00000123545",0.0462437023613663,0.858192264629345
"ENSG00000180902",0.426927231308237,0.0165021492334539
"ENSG00000157837",0.252450098783024,0.349158115682776
"ENSG00000196832",-0.139779126695169,0.595165572191553
"ENSG00000127870",0.366686567656747,0.152891066522369
"ENSG00000124466",-0.336290623215404,0.00122600953489715
"ENSG00000101871",0.00736648652445646,0.970091807138063
"ENSG00000106263",0.429351337604897,0.162436912737163
"ENSG00000206503",-0.0121207618741545,0.934184751131594
"ENSG00000136897",-0.433416303480391,0.038142504255312
"ENSG00000134759",-0.320332994043478,0.144338484159615
"ENSG00000198467",0.395343412871183,0.0456654837739879
"ENSG00000038002",-0.0517949925479519,0.803964293144819
"ENSG00000197168",-0.215389890226775,0.0776886471731539
"ENSG00000163218",-0.173779189634677,0.00218247309713848
"ENSG00000078401",-0.138655608295346,0.224417761486403
"ENSG00000148634",-0.242821604910843,0.2769336905848
"ENSG00000156103",0.0514863900822797,0.627495822634052
"ENSG00000169925",1.84456649377131,1.20202831066507e-06
"ENSG00000069206",0.47109328921003,0.0107818391199901
"ENSG00000142961",-0.43974800988116,0.00237193311803119
"ENSG00000140025",0.439315106284837,0.016476383798057
"ENSG00000088367",0.424367961846748,0.0100951422573977
"ENSG00000163346",-0.190661676908502,0.469157568269377
"ENSG00000146776",0.0896010626729195,0.646319319158371
"ENSG00000151790",-0.172363256915646,0.00413458738190076
"ENSG00000138311",0.125823273371869,0.46087687122391
"ENSG00000168872",-0.072698314952528,0.6966616656882
"ENSG00000182685",0.378312571888504,0.12084202875488
"ENSG00000178971",-0.481424258856682,0.0720484467894116
"ENSG00000161016",0.251764090197217,0.573429217260925
