"mRNA","coef","p"
"ENSG00000216937",0.412472516863392,0.0838859356569543
"ENSG00000132002",-0.475152686927824,0.0190378801149913
"ENSG00000161681",-0.807476472517799,0.00263612110764122
"ENSG00000124006",-0.00334520571754159,0.984178231510657
"ENSG00000151422",0.403686890333529,0.102261379603919
"ENSG00000198075",-0.0728904161987043,0.646964808567668
"ENSG00000203697",-0.0241940796352427,0.789120583217443
"ENSG00000180263",0.0792144505241205,0.634794122562179
"ENSG00000221990",-0.504927507840336,0.0232210418032438
"ENSG00000186367",0.247851157441754,0.196086228230439
"ENSG00000077585",0.54537041823483,0.00235441597181751
"ENSG00000172243",0.0911287107385685,0.355762110112994
"ENSG00000132763",-0.0651118419479871,0.588710205761069
"ENSG00000106536",-0.139064729034944,0.0431081216532244
"ENSG00000128242",-0.277400096960457,0.119904173554643
"ENSG00000123545",0.149042029449626,0.563627881030623
"ENSG00000180902",0.253132718193841,0.175019540403273
"ENSG00000157837",0.0824719328750146,0.73510972585055
"ENSG00000196832",-0.103558375668353,0.620898606365438
"ENSG00000127870",0.128209941097832,0.639298709438486
"ENSG00000124466",-0.181658813550219,0.118533087381877
"ENSG00000101871",-0.375876343553428,0.028417950520334
"ENSG00000106263",0.230360328715306,0.445706223727943
"ENSG00000206503",0.113404698542792,0.477480193053439
"ENSG00000136897",-0.132347114829841,0.523463673033735
"ENSG00000134759",-0.424197461686753,0.0287466575288267
"ENSG00000198467",0.717103882534565,4.32367518778953e-05
"ENSG00000038002",0.307427353155909,0.151205985361027
"ENSG00000197168",-0.557407915310296,1.48424740408215e-05
"ENSG00000163218",-0.110894002832183,0.0325964528713509
"ENSG00000078401",-0.423146787844665,0.000965200441175762
"ENSG00000148634",-0.19171259325422,0.365809906903927
"ENSG00000156103",0.338724206077728,0.000794714446952782
"ENSG00000169925",0.528795803313703,0.0551049505892302
"ENSG00000069206",-0.300154142526147,0.0930934780694767
"ENSG00000142961",-0.644948117957905,0.000533111977762735
"ENSG00000140025",0.897251086771779,9.99444728200238e-07
"ENSG00000088367",0.0377368783050663,0.818297863987207
"ENSG00000163346",0.73124978577217,0.000683030904195636
"ENSG00000146776",0.0341077204113231,0.857838769278662
"ENSG00000151790",0.0807833094943512,0.217941987543115
"ENSG00000138311",-0.412352802371635,0.00969694515158182
"ENSG00000168872",-0.0851359785107763,0.675082526242224
"ENSG00000182685",-0.613274077159312,0.00771325143553259
"ENSG00000178971",-0.574952817000649,0.021185333727224
"ENSG00000161016",-0.965207217140443,0.0548695844647198
