"mRNA","coef","p"
"ENSG00000216937",0.0120594669927736,0.952579623007052
"ENSG00000132002",-0.229935668547376,0.17451204785179
"ENSG00000161681",0.364185209769603,0.129108387925959
"ENSG00000124006",0.1187431873521,0.533273787464821
"ENSG00000151422",0.051276867853058,0.848558529717371
"ENSG00000198075",0.0843305406419529,0.607602619762778
"ENSG00000203697",0.0566126921512285,0.494996587777951
"ENSG00000180263",-0.0788417749464273,0.608215970296918
"ENSG00000221990",-0.43723760412949,0.0317295077700593
"ENSG00000186367",0.372898795729032,0.123837832436585
"ENSG00000077585",-0.154062027451583,0.384480079935212
"ENSG00000172243",-0.0193040570242622,0.820766348505156
"ENSG00000132763",-0.184193415820708,0.119561658954045
"ENSG00000106536",0.0683316435453887,0.397843257418332
"ENSG00000128242",-0.311217115872916,0.0576148427805246
"ENSG00000123545",-0.027695393765518,0.902659732114215
"ENSG00000180902",0.181832765885179,0.317763552369313
"ENSG00000157837",-0.154768672558319,0.502517338848147
"ENSG00000196832",-0.603686607878092,0.0266846832899887
"ENSG00000127870",0.303518349459111,0.273061409949703
"ENSG00000124466",-0.509909387754219,0.000250351462591558
"ENSG00000101871",-0.530079258871675,0.00345008586020668
"ENSG00000106263",0.0627870621836725,0.829544117492601
"ENSG00000206503",0.424691430429124,0.0521205691237712
"ENSG00000136897",-0.428318837998373,0.0328567524014611
"ENSG00000134759",-0.0665708203207288,0.728567259069073
"ENSG00000198467",0.448452251090239,0.00500938358128034
"ENSG00000038002",-0.219848687386278,0.143661865104085
"ENSG00000197168",0.0538112302827296,0.572004772859182
"ENSG00000163218",-0.139345726733363,0.0165552430508621
"ENSG00000078401",-0.211131299851483,0.0406706154104272
"ENSG00000148634",-0.284431901789354,0.145170572785954
"ENSG00000156103",0.107260754245332,0.326509788972209
"ENSG00000169925",0.51265469929781,0.0665941047503529
"ENSG00000069206",0.258356440379984,0.103810007228289
"ENSG00000142961",-0.898768363140203,2.8008295636206e-05
"ENSG00000140025",0.416249693159512,0.011745083995656
"ENSG00000088367",0.149543393135824,0.417969221143066
"ENSG00000163346",0.0656654828050078,0.791216186206694
"ENSG00000146776",0.106551978837998,0.591603896050019
"ENSG00000151790",-0.00972999711729565,0.87806069790992
"ENSG00000138311",-0.0862568865899575,0.56556978921482
"ENSG00000168872",0.255992929474993,0.23083880651597
"ENSG00000182685",0.227348630651355,0.276604189273546
"ENSG00000178971",-0.326453476505472,0.150756100209513
"ENSG00000161016",-0.798428515671718,0.114633898349288
"ENSG00000245848",-0.675411749977072,0.000991314987325076
"ENSG00000169554",0.0732284083277235,0.616562904857535
"ENSG00000147138",-0.0733771067478058,0.444305142605406
"ENSG00000163596",0.0251658001255456,0.790013250484302
"ENSG00000137103",0.154596252147677,0.337598714049059
"ENSG00000107951",-0.253600860645903,0.0607950957638208
"ENSG00000105248",-0.196711254793995,0.388541655563027
"ENSG00000102547",0.0735894297805491,0.588268670855414
"ENSG00000133112",0.192454898392308,0.431335398109289
"ENSG00000188909",0.228945503246853,0.272620465061762
"ENSG00000249158",0.0779195788488866,0.506337167271315
"ENSG00000078269",0.695585713716187,0.0303739359117077
"ENSG00000123983",0.786567524872105,0.00015232355412953
"ENSG00000188868",-0.269754280083594,0.0771276911245676
"ENSG00000181378",0.33258632914789,0.143966540906972
"ENSG00000110536",-0.325161868504649,0.169228735166765
"ENSG00000162407",0.112614755391069,0.507274422585633
"ENSG00000128581",0.0587745123456332,0.742182620103351
"ENSG00000182253",0.130332250335584,0.140228796513104
"ENSG00000124588",-0.0981772264880858,0.36385085706724
"ENSG00000108861",0.123721037954474,0.63644158727949
"ENSG00000144867",-0.496011322518451,0.0294480008426855
