"mRNA","coef","p"
"ENSG00000216937",-0.133367208570702,0.582363901932841
"ENSG00000132002",-0.561191067768018,0.00218597634252016
"ENSG00000161681",0.0530062121174073,0.816845860893206
"ENSG00000124006",0.804323604327932,0.00100777484243786
"ENSG00000151422",0.139459463677063,0.640974244888325
"ENSG00000198075",-0.122475624420367,0.41116286579092
"ENSG00000203697",-0.0792481784512729,0.367993958513436
"ENSG00000180263",0.0701490697363855,0.694893327643978
"ENSG00000221990",-0.376025718866111,0.0737965062220769
"ENSG00000186367",0.104953599147923,0.62693107255086
"ENSG00000077585",0.0827675971340405,0.649159651407396
"ENSG00000172243",0.0179945319147531,0.819471486565029
"ENSG00000132763",-0.0546319496515413,0.652359808137042
"ENSG00000106536",-0.13101579857094,0.0930085172568994
"ENSG00000128242",0.0308532331320442,0.847670466439412
"ENSG00000123545",0.129563544526143,0.58510238495688
"ENSG00000180902",0.358750405195588,0.0340962360923498
"ENSG00000157837",-0.501753238833729,0.0800431137060382
"ENSG00000196832",-0.336587268088097,0.141918508306965
"ENSG00000127870",-0.1113736810815,0.679125345902909
"ENSG00000124466",-0.467431524500626,8.31300529868795e-06
"ENSG00000101871",-0.428302804732846,0.00605056751981448
"ENSG00000106263",0.403264066392163,0.149390614094731
"ENSG00000206503",0.280965415224779,0.152565089922805
"ENSG00000136897",-0.243591951924895,0.22888181769691
"ENSG00000134759",-0.305128001800011,0.211675995527497
"ENSG00000198467",0.588780046207733,0.00136326201889947
"ENSG00000038002",0.130209751085329,0.495762762586453
"ENSG00000197168",-0.165602993396815,0.117640489092018
"ENSG00000163218",-0.156208729750142,0.00467120037987845
"ENSG00000078401",-0.236515003152537,0.0237376812362883
"ENSG00000148634",-0.0896103010055546,0.687524781426509
"ENSG00000156103",0.145646473676325,0.101606696608273
"ENSG00000169925",0.950772658682573,0.000611356595917933
"ENSG00000069206",0.211249394510755,0.21403219791369
"ENSG00000142961",-0.611172814270865,5.99412910595731e-05
"ENSG00000140025",0.470792590035583,0.00524097532338086
"ENSG00000088367",0.118612454720565,0.492801482491612
"ENSG00000163346",0.06001750316528,0.816233286696686
"ENSG00000146776",0.228779286674919,0.264959979245215
"ENSG00000151790",-0.0498069183342661,0.422272500110594
"ENSG00000138311",-0.0982346099223296,0.562824145584874
"ENSG00000168872",0.0513334652722179,0.811749238812128
"ENSG00000182685",0.263016536625804,0.328950118049517
"ENSG00000178971",-0.656435020005197,0.00692086741870768
"ENSG00000161016",0.489194230694027,0.342348627867951
"ENSG00000245848",-1.20070604865712,4.01065637367637e-08
"ENSG00000169554",0.0393509887892177,0.793910691052413
"ENSG00000147138",-0.0739387607526308,0.430089762297825
"ENSG00000163596",0.0530985207264785,0.628642977623647
"ENSG00000137103",0.489179097075103,0.0164198486729835
"ENSG00000107951",-0.142598631831837,0.373558651083204
"ENSG00000105248",-0.0545069140453698,0.858169756381825
"ENSG00000102547",0.142323272831966,0.296324621664284
"ENSG00000133112",0.018394404425467,0.942012415512034
"ENSG00000188909",0.012537632317498,0.947876419792595
"ENSG00000249158",0.0193232087329441,0.887081737365802
"ENSG00000078269",0.871930139680074,0.00946263176020434
"ENSG00000123983",0.516315661254342,0.0291102588347946
"ENSG00000188868",-0.190119873941402,0.257769731212314
"ENSG00000181378",-0.0610420032458213,0.796658605842124
"ENSG00000110536",0.125781084643757,0.593354830488571
"ENSG00000162407",-0.0645546858830352,0.63679134392906
"ENSG00000128581",0.0833467512754191,0.621820066338432
"ENSG00000182253",0.201330342168161,0.0460929002092522
"ENSG00000124588",-0.25033295502088,0.0417791987507564
"ENSG00000108861",0.013858015305706,0.946540440692234
"ENSG00000144867",-0.649762076718079,0.0091556475317297
"ENSG00000085274",-0.502087748191425,0.0539320083190009
"ENSG00000180817",-0.431382349232095,0.115771978675303
"ENSG00000198959",0.187088821536456,0.0749430871222037
"ENSG00000140263",0.540427982087801,0.000634833955913128
"ENSG00000166206",-0.105486975389356,0.33061311372815
"ENSG00000170324",-0.112496282635413,0.0328417193753155
"ENSG00000205853",-0.0835719442212438,0.602288868607678
"ENSG00000157349",0.172356399325306,0.349847932839135
"ENSG00000255529",0.0459921101969597,0.77665585878844
"ENSG00000181903",-0.0199570193800882,0.928205715098065
"ENSG00000147454",0.0475190139202488,0.795625081431366
"ENSG00000131781",-0.394894112194541,0.00762116554555692
"ENSG00000181751",-0.385062143383319,0.0298273828776199
"ENSG00000160298",0.679135000327176,0.00963533674212225
"ENSG00000136141",0.614447465788447,0.011742175688213
"ENSG00000166167",0.0394513141671607,0.835064705291674
"ENSG00000162415",-0.00221664565460186,0.985397088508893
"ENSG00000088833",0.0143173392525732,0.946145953921002
"ENSG00000125844",0.185193808684355,0.501236230870537
"ENSG00000180767",0.154499264919409,0.502981131781314
"ENSG00000178821",0.121161955287801,0.535578445431797
"ENSG00000155966",-0.169335787500368,0.0359639533221954
"ENSG00000167770",0.105135648284642,0.686318052841417
"ENSG00000100201",-0.0875078035002591,0.817554391055052
"ENSG00000171540",0.478829742462213,0.0506075153058503
"ENSG00000254999",-0.236467560365632,0.262358569487635
"ENSG00000117525",-0.0299005038182058,0.733939515905809
"ENSG00000131153",0.0199131301018693,0.896122032886207
"ENSG00000164627",0.0722327420088111,0.646286277765558
"ENSG00000013293",0.0577152107843017,0.701422665972702
"ENSG00000205846",-0.203400188143178,0.0712223017646386
"ENSG00000105887",-0.290571501704863,0.301969236154171
"ENSG00000198807",-0.00371070431254419,0.965403509099157
"ENSG00000118960",0.174986179229288,0.534903657577853
"ENSG00000122741",0.258408689026181,0.0890259014039362
"ENSG00000182919",-0.121706195150633,0.462082102315613
"ENSG00000092969",0.315163806041839,0.0151504186386835
"ENSG00000223572",-0.395124590920738,0.000985389331190301
"ENSG00000008394",-0.0719980530473301,0.196872970282638
"ENSG00000114698",0.0545315262055865,0.639194814943782
"ENSG00000100906",-0.467470655255481,0.0420954354888937
"ENSG00000143195",0.0926048370418797,0.501953516529871
"ENSG00000168060",-0.0940232136133868,0.563401854343261
"ENSG00000176092",-0.700928328109509,2.70906533423876e-05
"ENSG00000141258",0.50415345477681,0.0261447772982387
"ENSG00000113532",-0.137692022269714,0.281236884005442
"ENSG00000188000",-0.0203175918689148,0.935606025324138
"ENSG00000162998",-0.0277475905586458,0.684419590751377
"ENSG00000197852",-0.847425740384521,0.000505282198392298
"ENSG00000137976",-0.164107585926383,0.0786664296557508
"ENSG00000107897",-0.424817656712546,0.0702774152256274
"ENSG00000196734",-0.136560919201958,0.0988204661794138
"ENSG00000154175",0.0587236844550105,0.35049446456479
"ENSG00000198523",0.0099612691864993,0.843543142800899
"ENSG00000121022",-0.393960883130214,0.214077222146861
"ENSG00000183426",0.448933917224435,0.0794910396503588
"ENSG00000151247",-1.10665909518788,0.000127164569519223
"ENSG00000108669",0.2619681976722,0.199865663839033
"ENSG00000197756",-0.152272794446329,0.354805961262962
"ENSG00000119599",0.242047714279232,0.186214550671788
"ENSG00000128915",0.54874250465916,0.00286413012049092
"ENSG00000141646",-0.0804840933387744,0.646463480054479
"ENSG00000132849",0.19051790526578,0.492020159302823
"ENSG00000154553",0.174505636174532,0.137909581655246
"ENSG00000183476",-0.276659626239799,0.112806903002339
"ENSG00000137699",-0.361939401730666,0.000526612690051942
"ENSG00000081665",0.20790029991226,0.225758645229634
"ENSG00000152092",0.0336711764187104,0.785354774616334
"ENSG00000276644",-0.12559316923085,0.266837071714569
"ENSG00000088766",0.396107003812719,0.0563501142354702
"ENSG00000137267",-0.369901466881343,0.0646199975097401
"ENSG00000100104",-0.267650847208095,0.0175167361760061
"ENSG00000108813",0.174274053406347,0.113199083845478
"ENSG00000108375",-0.220085109037518,0.168507467109734
"ENSG00000166454",-0.465802692014584,0.193033866404799
"ENSG00000117020",0.0699937598054624,0.475309448680483
"ENSG00000140859",0.335007041496991,0.0987915139840243
"ENSG00000165119",0.776896205114103,0.140877690890425
"ENSG00000168421",-0.0953191534164966,0.240362372830017
"ENSG00000130312",-0.317725298795157,0.228820907869225
"ENSG00000140873",0.367573361858256,5.90188191947894e-05
"ENSG00000152936",-0.445033453525433,0.0524476441433697
"ENSG00000094841",0.110735539872782,0.383336714688044
"ENSG00000087088",-0.264756428163395,0.112153859609313
"ENSG00000187871",-0.298031196349421,0.102646914767232
"ENSG00000198015",-0.70260611701038,0.00549630164017512
"ENSG00000089505",1.06198007746264,3.29413059505512e-05
"ENSG00000145375",0.125038674659394,0.44388186267609
"ENSG00000163704",-0.0373575455093449,0.837563919892653
"ENSG00000056972",-0.0757056876609524,0.675942173387649
