"mRNA","coef","p"
"ENSG00000216937",0.144095355669311,0.518518284777389
"ENSG00000132002",-0.253965663527512,0.159366577927036
"ENSG00000161681",0.207868469994761,0.338824164490573
"ENSG00000124006",0.211820475494052,0.293612695999894
"ENSG00000151422",0.0462813047183746,0.864742782271493
"ENSG00000198075",0.188128053344136,0.211991087430435
"ENSG00000203697",-0.128608401608468,0.130686782393778
"ENSG00000180263",0.0682435517914593,0.677603531795086
"ENSG00000221990",-0.422994023334472,0.0313408840362255
"ENSG00000186367",0.595666451951862,0.0119629583470406
"ENSG00000077585",0.028233421943317,0.855647950849787
"ENSG00000172243",-0.1633258658495,0.0271134709884283
"ENSG00000132763",-0.0892254285432973,0.401107200843325
"ENSG00000106536",-0.0841398383402088,0.260260089480789
"ENSG00000128242",-0.266666865772533,0.197640059853923
"ENSG00000123545",-0.0415213543349915,0.856925217046067
"ENSG00000180902",0.305949072612803,0.10131147313842
"ENSG00000157837",-0.0644015680060151,0.773797610097676
"ENSG00000196832",-0.363566001014728,0.214801006104846
"ENSG00000127870",0.00273306371810283,0.991539548513926
"ENSG00000124466",-0.320918833529436,0.00200515196509177
"ENSG00000101871",-0.308036056920116,0.0729602969384965
"ENSG00000106263",-0.140621248029754,0.649873799123086
"ENSG00000206503",0.245692553855832,0.204743379326656
"ENSG00000136897",-0.278576962349482,0.134004124510273
"ENSG00000134759",-0.283237848390141,0.137363021084657
"ENSG00000198467",0.64351069974407,0.000156812487299152
"ENSG00000038002",-0.13164445838763,0.457881709670534
"ENSG00000197168",-0.0104536319688792,0.903342007392073
"ENSG00000163218",-0.0924096812010861,0.117830864891343
"ENSG00000078401",-0.212597496353876,0.0393377425416342
"ENSG00000148634",-0.0149800233542868,0.943031760498276
"ENSG00000156103",0.0746733101105214,0.415436209823631
"ENSG00000169925",0.691760435866512,0.0188419125160624
"ENSG00000069206",-0.094962949312896,0.583354525160997
"ENSG00000142961",-0.442676439045911,0.0061523030845072
"ENSG00000140025",0.216820253378588,0.163739317441969
"ENSG00000088367",0.365522276262388,0.0202988582838067
"ENSG00000163346",0.102881997058091,0.638518193700937
"ENSG00000146776",0.191383538398746,0.336593703759128
"ENSG00000151790",-0.130664654926653,0.0186940468009061
"ENSG00000138311",0.0720552950133719,0.58435472046315
"ENSG00000168872",0.0734512374595429,0.682849737320127
"ENSG00000182685",-0.00654505403614232,0.977383167210585
"ENSG00000178971",6.43187426140529e-05,0.999689545328088
"ENSG00000161016",-0.100870470859651,0.828758186568635
"ENSG00000245848",-0.287253622885313,0.130481993370142
"ENSG00000169554",0.00750375737422759,0.957714464792114
"ENSG00000147138",-0.137548419483761,0.139841595004843
"ENSG00000163596",0.172808293170559,0.118753723021634
"ENSG00000137103",0.0713183649832332,0.697722778382971
"ENSG00000107951",-0.047023990869966,0.759303603610817
"ENSG00000105248",-0.525347857484582,0.0418903299345267
"ENSG00000102547",0.10064088156506,0.437491947013674
"ENSG00000133112",0.14336758608881,0.590013956917331
"ENSG00000188909",0.137802611361887,0.493071338761987
"ENSG00000249158",0.103595837905426,0.357076082029445
"ENSG00000078269",0.949360821301204,0.000433645272696404
"ENSG00000123983",0.456763175178319,0.0197731954827788
"ENSG00000188868",-0.22956620781048,0.165161442987796
