"mRNA","coef","p"
"ENSG00000216937",-0.283594517039274,0.182047036321394
"ENSG00000132002",-0.0735502304938899,0.667336477269576
"ENSG00000161681",0.0412442472301407,0.868502920345453
"ENSG00000124006",0.184379875580419,0.259971134039614
"ENSG00000151422",0.123557379454567,0.636724976305362
"ENSG00000198075",0.035479687165493,0.740394871828939
"ENSG00000203697",-0.107878408515189,0.190853293200662
"ENSG00000180263",0.0721695716275859,0.586684454287277
"ENSG00000221990",-0.249051405999344,0.18334423302647
"ENSG00000186367",-0.17824670997297,0.366398764685085
"ENSG00000077585",-0.446278862169653,0.00838954695927385
"ENSG00000172243",0.0160635599650206,0.82994443499893
"ENSG00000132763",0.114530205847793,0.340373465955257
"ENSG00000106536",-0.108016455051209,0.125896147044679
"ENSG00000128242",-0.0114812091361768,0.918542625360455
"ENSG00000123545",0.250949250217577,0.237584298620029
"ENSG00000180902",0.156899754828553,0.321488234656735
"ENSG00000157837",-0.133388331991056,0.53757098565341
"ENSG00000196832",-0.248616719702833,0.339208730949119
"ENSG00000127870",0.334591540732366,0.102446700761821
"ENSG00000124466",-0.120485216416562,0.220218029565834
"ENSG00000101871",-0.20000647338847,0.164397844441597
"ENSG00000106263",-0.106373285809678,0.709966027221618
"ENSG00000206503",0.345503514687052,0.0882698185963808
"ENSG00000136897",0.0385440873410614,0.844125787414898
"ENSG00000134759",0.0639550606901859,0.718693546908273
"ENSG00000198467",0.400364146787876,0.0143931551440293
"ENSG00000038002",0.383307207870401,0.0357541226261546
"ENSG00000197168",0.134197663046155,0.189851241721894
"ENSG00000163218",-0.00209934587652429,0.963384618987508
"ENSG00000078401",-0.147517717180742,0.122593802839358
"ENSG00000148634",0.223184774460091,0.198412329693456
"ENSG00000156103",0.201224550309603,0.0521096395790024
"ENSG00000169925",-0.0134782241106799,0.957712255102631
"ENSG00000069206",-0.167393495966026,0.293534499997226
"ENSG00000142961",-0.155814323809486,0.308541651440174
"ENSG00000140025",0.435874231285906,0.00508321814095303
"ENSG00000088367",0.562128949010716,0.000627861370685601
"ENSG00000163346",0.0077502949136496,0.973654258037772
"ENSG00000146776",0.444141956732499,0.0082704835684938
"ENSG00000151790",0.0528096065526423,0.343607788735894
"ENSG00000138311",-0.0166506686768141,0.918542137652714
"ENSG00000168872",0.531797587498232,0.0040731267540759
