"mRNA","coef","p"
"ENSG00000216937",-0.280468768496735,0.24709801793323
"ENSG00000132002",0.0122589774037677,0.943681125168954
"ENSG00000161681",-0.407978159375407,0.110731955417689
"ENSG00000124006",-0.0596377715559048,0.733752246591432
"ENSG00000151422",0.466439729345767,0.0810282619047553
"ENSG00000198075",0.259356443583615,0.0138122118280252
"ENSG00000203697",-0.0957168393474951,0.237167787689984
"ENSG00000180263",0.17746271343729,0.289755430608625
"ENSG00000221990",-0.419053514593214,0.0351929107440185
"ENSG00000186367",0.175477680412216,0.401343073709557
"ENSG00000077585",0.329654811072851,0.0733528532463146
"ENSG00000172243",0.239509321694157,0.00439890120349018
"ENSG00000132763",0.414976307962246,0.00092804256523582
"ENSG00000106536",-0.112463405590262,0.104586844364456
"ENSG00000128242",-0.18382262633232,0.189158472037055
"ENSG00000123545",0.480375721405333,0.0333990410973648
"ENSG00000180902",-0.20867025809231,0.297988449158481
"ENSG00000157837",-0.0857658640253662,0.743881601824491
"ENSG00000196832",-0.281072436486214,0.127365686506656
"ENSG00000127870",0.546394629775976,0.0222023010147003
"ENSG00000124466",-0.205720254522849,0.0477599310327849
"ENSG00000101871",-0.641751298325818,0.00106948468048407
"ENSG00000106263",-0.308806329354157,0.287074723647637
"ENSG00000206503",0.435691748997497,0.0449533129759294
"ENSG00000136897",0.209501111978319,0.295238374179065
"ENSG00000134759",0.439786391844123,0.0399980909785786
"ENSG00000198467",0.678650129515233,4.40585954766259e-05
"ENSG00000038002",0.0304788957375372,0.846358145842338
"ENSG00000197168",-0.180152227909754,0.138106590150423
"ENSG00000163218",0.0545438890233262,0.297517159079953
"ENSG00000078401",-0.374778080727587,0.000226491488113822
"ENSG00000148634",0.365471602056478,0.0662395793287791
"ENSG00000156103",0.486853727149209,4.72819844055117e-07
"ENSG00000169925",-0.0547194970161691,0.843868228575601
"ENSG00000069206",-0.283290630280373,0.0756217580633758
"ENSG00000142961",-0.432974964190276,0.0115148568558113
"ENSG00000140025",0.839129093854583,5.44686094350322e-06
"ENSG00000088367",-0.0350458617833655,0.834464143110045
"ENSG00000163346",0.576492677125552,0.0123503932809197
"ENSG00000146776",0.660466897396776,0.000717302575682588
"ENSG00000151790",0.218695521930323,0.00091625693530728
"ENSG00000138311",-0.228105808489113,0.264882785698839
"ENSG00000168872",0.772935379872221,0.000402507309513744
"ENSG00000182685",-0.541294867764665,0.0386359421306735
"ENSG00000178971",-0.536319258980679,0.0192413760912132
"ENSG00000161016",-0.539216046253912,0.23396305358952
"ENSG00000245848",-0.465245500490499,0.00954401468871613
"ENSG00000169554",0.359582975746676,0.0117819253709075
"ENSG00000147138",0.217732633620543,0.0414000928922358
"ENSG00000163596",-0.0438547171202077,0.647099161999971
"ENSG00000137103",0.00123722198064954,0.994399016937375
"ENSG00000107951",0.284067679482256,0.0438966818268289
"ENSG00000105248",-0.549298135245736,0.0102376849286163
"ENSG00000102547",0.531231628602106,2.54041322540477e-05
"ENSG00000133112",-0.125465475609402,0.60752785843395
