"mRNA","coef","p"
"ENSG00000216937",0.0573121129058035,0.775476344534326
"ENSG00000132002",0.0658071447613903,0.721872872585855
"ENSG00000161681",0.0887937646987692,0.703737326401191
"ENSG00000124006",0.11469626538745,0.444323132789764
"ENSG00000151422",0.455936110502413,0.0794799745268651
"ENSG00000198075",-0.123725926788632,0.289565691912188
"ENSG00000203697",-0.0683545902963812,0.412674678130824
"ENSG00000180263",0.146518334778242,0.294252233015475
"ENSG00000221990",-0.250732078831787,0.256390829857553
"ENSG00000186367",0.254625680116859,0.211108068501529
"ENSG00000077585",-0.194193989048155,0.212522025028896
"ENSG00000172243",-0.0497253425252098,0.510841082746475
"ENSG00000132763",-0.0802687557891194,0.48334631482109
"ENSG00000106536",-0.0131846885592972,0.832818237102159
"ENSG00000128242",-0.158695409200345,0.192779567877888
"ENSG00000123545",0.298661286839575,0.167555178692059
"ENSG00000180902",0.485222206250601,0.00929951511254945
"ENSG00000157837",-0.0430403771990033,0.865465644772955
"ENSG00000196832",-0.26470409287873,0.2998855592351
"ENSG00000127870",0.754681018902055,0.00147619319079906
"ENSG00000124466",-0.0660234769283226,0.52381464697107
"ENSG00000101871",-0.0767301939564098,0.626635139277553
"ENSG00000106263",0.261042365512272,0.315232793401221
"ENSG00000206503",0.272844062409931,0.150397394267654
"ENSG00000136897",-0.369164406907458,0.0583688523260858
"ENSG00000134759",-0.15542810835638,0.479760534081282
"ENSG00000198467",0.263914825412718,0.0847582148566819
"ENSG00000038002",-0.17383122667785,0.326595213653469
"ENSG00000197168",-0.0685598011074143,0.445206294381182
"ENSG00000163218",-0.053101756964382,0.309744945891408
"ENSG00000078401",-0.170258097227269,0.0931959005300116
"ENSG00000148634",0.00600549005828458,0.975974942714361
"ENSG00000156103",0.0492139639501461,0.625154332177326
"ENSG00000169925",0.495149522163223,0.0506854362271643
"ENSG00000069206",0.146993285531707,0.405745530781468
"ENSG00000142961",-0.152812363250626,0.275952782599605
"ENSG00000140025",0.492792094789606,0.00177840417831299
"ENSG00000088367",0.251285110640876,0.115072541593517
"ENSG00000163346",-0.0331116042072237,0.882962853383618
"ENSG00000146776",0.466798013681523,0.00802352196215228
"ENSG00000151790",-0.0441874339538463,0.418760027244387
"ENSG00000138311",0.0343932832451037,0.813398897935441
"ENSG00000168872",0.435833408098067,0.0176747850709024
"ENSG00000182685",0.527384517549209,0.0109137647890102
"ENSG00000178971",0.131496653066662,0.418649171050921
"ENSG00000161016",0.326776907899697,0.446384915216121
"ENSG00000245848",-0.244474589101819,0.142611282035096
"ENSG00000169554",-0.109664788082751,0.465739064095062
"ENSG00000147138",-0.0934555297743171,0.257738534226224
"ENSG00000163596",-0.00485603593361781,0.959917291852123
"ENSG00000137103",-0.159102880489551,0.269802199171174
"ENSG00000107951",0.0685692377824133,0.618681475122327
"ENSG00000105248",-0.12060773237161,0.565754860468378
"ENSG00000102547",0.0441350533105754,0.734432122814853
"ENSG00000133112",0.578630500924383,0.0104937515829908
"ENSG00000188909",0.0201305157421754,0.922797538140909
"ENSG00000249158",-0.0014632363005413,0.988642661991432
"ENSG00000078269",0.848737455652346,0.00217155914501066
"ENSG00000123983",0.354369304824539,0.11354282007213
"ENSG00000188868",-0.295479818489029,0.0488292297593587
"ENSG00000181378",-0.0665576227765747,0.756274271432072
"ENSG00000110536",-0.503636117992419,0.0310042827403405
"ENSG00000162407",-0.0666576849757006,0.635662862868761
"ENSG00000128581",0.0559648532389197,0.723289599040765
"ENSG00000182253",0.272264787720572,0.00404102796278638
"ENSG00000124588",-0.2384717143103,0.0342811579704211
"ENSG00000108861",0.404748032942671,0.0690065894094047
"ENSG00000144867",-0.540543402508979,0.029364271325659
"ENSG00000085274",-0.0895629696989793,0.728917211771662
"ENSG00000180817",-0.188625862645721,0.378813274748671
"ENSG00000198959",0.244648842162742,0.0154401294180108
"ENSG00000140263",0.338453139517904,0.00963384511326582
"ENSG00000166206",-0.000943701523455601,0.992603921468117
"ENSG00000170324",-0.00743418101764191,0.887886744997396
"ENSG00000205853",0.0485997553066259,0.719741097897647
"ENSG00000157349",0.511297622290801,0.0299837231691205
"ENSG00000255529",0.158719664179965,0.234566428394963
"ENSG00000181903",-0.120786679190597,0.573588795862175
"ENSG00000147454",0.0130208065057188,0.938668148570598
"ENSG00000131781",-0.331309976349956,0.013096232437011
"ENSG00000181751",-0.178808267218252,0.23324993603277
